Price,Close,High,Low,Open,Volume
Ticker,SPY,SPY,SPY,SPY,SPY
Date,,,,,
2015-07-01,174.91714477539062,175.36392006796436,174.12474697716087,175.1110252379047,135979900
2015-07-02,174.75694274902344,175.5662034711772,174.3354557372848,175.39761123903432,104373700
2015-07-06,174.25958251953125,175.04354214835712,173.2564414233038,173.45875980949862,117975400
2015-07-07,175.35543823242188,175.4818791751677,172.05940712206035,174.46188793632126,173820200
2015-07-08,172.41348266601562,174.29331120955473,172.17745095932744,174.00670311754243,164020100
2015-07-09,172.72537231445312,174.79066896276936,172.61579443804868,174.5293362106964,144113100
2015-07-10,174.9001922607422,175.3216791410736,172.76746967528604,174.74002518817485,129456900
2015-07-13,176.83062744140625,176.94020529481128,176.1309576050445,176.17310886993573,106069400
2015-07-14,177.59774780273438,177.90965691476003,176.72948565254435,176.78850000389795,81709600
2015-07-15,177.53875732421875,178.1035483691802,177.05825596286732,177.63991008965584,97914100
2015-07-16,178.96339416503906,178.96339416503906,178.3564518173812,178.6009086333274,106683300
2015-07-17,179.11509704589844,179.17411139512424,178.54188094762046,178.95492994115565,89030000
2015-07-20,179.20787048339844,179.70522214212056,178.88754905482662,179.34274943372586,70446800
2015-07-21,178.49977111816406,179.3343201332078,178.19629991839946,179.07298734951698,77965000
2015-07-22,178.1793975830078,178.51659487666717,177.7747736933781,177.80848699136328,88667900
2015-07-23,177.17628479003906,178.41545770847551,176.81381211215972,178.314304935628,90509100
2015-07-24,175.3385467529297,177.3363905012912,175.00136238504692,177.27738902515333,117755000
2015-07-27,174.3185577392578,174.9592261009429,173.8717826253249,174.4450115351084,132361100
2015-07-28,176.4597625732422,176.60306662076323,174.32703921777386,175.1615753099707,123544800
2015-07-29,177.67364501953125,177.9012387529939,176.44289724068489,176.58620128637875,105791300
2015-07-30,177.71578979492188,177.88438202705655,176.5356184444537,177.159423852391,91304400
2015-07-31,177.44602966308594,178.2468524025521,177.15942158584755,178.22156421119357,103266900
2015-08-03,176.84754943847656,177.471354968889,175.88655937759356,177.41235346430102,113965700
2015-08-04,176.5019073486328,177.2352906421022,176.0129808653989,176.77165235086633,81820800
2015-08-05,177.0835418701172,178.12882132425926,176.7969209546239,177.40386322085675,85786800
2015-08-06,175.63365173339844,177.37860136075744,175.0435595971987,177.26901061613233,116030800
2015-08-07,175.2964324951172,175.62519182516738,174.38601907434085,175.4734626864189,117858000
2015-08-10,177.50503540039062,177.589325079906,176.41759177371785,176.41759177371785,80270700
2015-08-11,175.9033660888672,176.57774779644564,175.1362567357122,176.15626083705428,126081400
2015-08-12,176.11415100097656,176.29960633575968,173.11316520214325,174.58836990706806,172123700
2015-08-13,175.89495849609375,176.64520484401035,175.34701767666365,175.95395998764815,89383300
2015-08-14,176.5355987548828,176.61146332146757,175.5577459096969,175.70104993416635,72786500
2015-08-17,177.52188110351562,177.52188110351562,175.47346057844797,175.93709882365724,79072600
2015-08-18,177.0076904296875,177.59776970217663,176.77165872069185,177.24372213868315,71692700
2015-08-19,175.6083526611328,177.0329679391841,174.79066683904153,176.25743339031908,172946000
2015-08-20,171.94142150878906,175.58306279030748,171.882407149961,174.08256997977378,194327900
2015-08-21,166.7655029296875,171.91607319332294,166.50418311829705,170.05309549679143,346588500
2015-08-24,159.7436065673828,166.4705368993585,153.758484764607,158.04923310193374,507244300
2015-08-25,157.8637237548828,164.75924399104267,157.56867774870275,164.7423809116939,369833100
2015-08-26,163.9247283935547,164.20289849210744,158.79100699875787,161.91844617345566,339257000
2015-08-27,167.97946166992188,168.1059026467122,164.55698869530755,166.08276984147915,274143900
2015-08-28,167.98788452148438,168.4599479788389,166.84143918386718,167.33036572548852,160414400
2015-08-31,166.63063049316406,167.86137790809556,166.07426469479395,167.0015410254108,163298800
2015-09-01,161.6571502685547,164.1860726234639,160.7804499823715,162.7951576106053,256000400
2015-09-02,164.72552490234375,164.76767616785298,162.2050284329102,164.05956835047442,160269300
2015-09-03,164.8435821533203,166.95101733077834,164.34623053850345,165.4420865405708,152087800
2015-09-04,162.34840393066406,163.41898480474757,161.52229278652288,162.567585462718,207081000
2015-09-08,166.42837524414062,166.5801172752047,164.52325835315708,165.1723520306672,116025700
2015-09-09,164.20291137695312,168.14803666372728,163.8320135955247,168.02159569991795,149347700
2015-09-10,165.09640502929688,166.2512748873851,163.74764195815484,164.0089617482836,158611100
2015-09-11,165.84671020507812,165.9141496689408,163.98373199631345,164.70026504493737,119691200
2015-09-14,165.23135375976562,166.07432788552637,164.74242722329268,166.023751496023,79452000
2015-09-15,167.29661560058594,167.7433907645949,165.18918072780338,165.73710864962217,113806200
2015-09-16,168.7465362548828,168.94042954424017,167.254481473214,167.6001039148375,99581600
2015-09-17,168.3672332763672,171.0310348340377,167.9878974591187,168.61170299738802,276046600
2015-09-18,165.61585998535156,168.35281843261646,165.20066348845967,165.8361809964078,223657500
2015-09-21,166.47166442871094,167.5054274681029,165.41246879894106,166.45471367833704,105726200
2015-09-22,164.31088256835938,164.77693117411926,163.1669462569154,164.28546291073908,153890900
2015-09-23,164.04818725585938,164.95485178673775,163.4635093315504,164.480334320525,92790600
2015-09-24,163.45506286621094,163.92111152482275,161.4722517691724,162.81954549436776,159378800
2015-09-25,163.41268920898438,165.23450032274098,162.53143130000208,164.92945149726754,155054800
2015-09-28,159.31149291992188,162.61619106938852,158.99797514845,162.50603058551602,178515900
2015-09-29,159.40467834472656,160.77740447485854,158.39632218203565,159.5317895597265,159045600
2015-09-30,162.3789825439453,162.54845131261396,160.52326914237352,161.31130473502003,163452000
2015-10-01,162.80255126953125,163.10760001951473,160.84516051114954,162.76018087349448,131079000
2015-10-02,165.23448181152344,165.2599014666624,160.25202253018625,160.80281189400344,211003300
2015-10-05,168.17486572265625,168.4036556253437,166.3615231127548,166.47168360842574,126320800
2015-10-06,167.59864807128906,168.60700444497422,166.92924207889533,168.03927710215044,110274500
2015-10-07,168.9713592529297,169.3272474239699,167.33595451854197,168.53919917195427,124307300
2015-10-08,170.49664306640625,170.78474123414628,168.27655977532822,168.58160869694612,153055200
2015-10-09,170.59829711914062,171.08128363306977,169.96277970158891,170.64066753290442,107069200
2015-10-12,170.75929260253906,170.9626498960313,170.24240459885522,170.67455177716087,56395600
2015-10-13,169.6831817626953,171.30163618748992,169.5137130060383,170.0221192760093,88038700
2015-10-14,168.86965942382812,170.20848415205293,168.57309242728266,169.62380613907015,99106200
2015-10-15,171.46258544921875,171.47105435918016,169.1662437455931,169.53908265803122,134142200
2015-10-16,172.2421875,172.25912532342917,171.09825086635777,171.86934851037924,114580100
2015-10-19,172.32688903808594,172.32688903808594,171.27617524225622,171.58969301299453,76523900
2015-10-20,172.10659790039062,172.7251645921883,171.6320802776617,171.88628984116232,78448500
2015-10-21,171.03892517089844,172.6827860206722,170.86944351681248,172.5302680475567,102038000
2015-10-22,173.9283905029297,174.14022962789022,171.03891466498987,171.99641871766033,174911700
2015-10-23,175.83494567871094,176.20778461385254,174.80965153670587,175.61463763959742,144442300
2015-10-26,175.4027862548828,175.71630400587503,175.02994734579295,175.6569957774108,69033000
2015-10-27,175.06390380859375,175.40284132529007,174.37753400338192,174.72495336225998,77905800
2015-10-28,177.0551300048828,177.08054966435145,174.73338157585775,175.40278749125423,135906700
2015-10-29,176.9534912109375,177.32633020660614,176.42813422411518,176.54676363822463,90525500
2015-10-30,176.19082641601562,177.4703429738629,176.02983954594936,177.14834337446285,131076900
2015-11-02,178.2753143310547,178.4702026847824,176.39418206913953,176.52129328823975,86270800
2015-11-03,178.79222106933594,179.351479461101,177.6906550360625,177.91944491080895,95246100
2015-11-04,178.24990844726562,179.2158943107624,177.70760082091013,179.0887960114735,96224500
2015-11-05,178.07196044921875,178.77526788450305,177.17376464235542,178.30921923104552,78408700
2015-11-06,177.97874450683594,178.21601621001548,176.63993268309713,177.72454791348895,110471500
2015-11-09,176.3179473876953,177.51272319183101,175.36043037634244,177.36019229382234,131008700
2015-11-10,176.72467041015625,176.75857191091228,175.56379613712858,175.83494349500597,75874600
2015-11-11,176.02989196777344,177.0467174591335,175.96210187773107,176.99587812401114,67846000
2015-11-12,173.57247924804688,175.45361146197016,173.55554142963845,174.97909395388723,121315200
2015-11-13,171.6235809326172,173.42845442679078,171.53885303984885,173.15730706844423,153577100
2015-11-16,174.2334442138672,174.2927653767331,171.31853570446503,171.4371780301968,117645200
2015-11-17,174.10635375976562,175.43669683817012,173.60641649149542,174.54698279212946,121123700
2015-11-18,176.86871337890625,177.01276242807776,174.54696491273344,174.58932239276987,121342500
2015-11-19,176.7161865234375,177.13986473954276,176.41960660031057,176.75007509168736,88220500
2015-11-20,177.36016845703125,178.0465250817393,176.97886065770817,177.47879783747914,94011500
2015-11-23,177.1568145751953,177.92789909801064,176.6907659539555,177.41949299908512,64931200
2015-11-24,177.39410400390625,177.80083153927777,175.75023018100086,176.1400069645883,98874400
2015-11-25,177.36866760253906,177.72455577860794,177.10597622839953,177.52118556529686,51980100
2015-11-27,177.57203674316406,177.7754069700547,176.97888974344332,177.46187625406063,37317800
2015-11-30,176.83486938476562,177.85169482499774,176.72470887778118,177.73306540579793,112822700
2015-12-01,178.52102661132812,178.6396689107806,177.19068388759607,177.47031302995208,97858400
2015-12-02,176.6992645263672,178.79223628885876,176.44505496941335,178.47023665474154,108441300
2015-12-03,174.2249298095703,177.22456543026973,173.49620287250545,176.95341813697848,166224200
2015-12-04,177.62289428710938,177.91947428220882,174.22499882402906,174.22499882402906,192913900
2015-12-07,176.54672241210938,177.71606552680555,175.57225473195692,177.2923872996871,102027100
2015-12-08,175.3604278564453,176.49588248125178,174.36902228735596,174.9706511008893,103372400
2015-12-09,173.99620056152344,176.82636849298711,173.0132638056838,174.71645884097939,162401500
2015-12-10,174.44528198242188,175.76715607993603,173.8267153454332,174.063974135775,116128900
2015-12-11,171.0643310546875,172.97935205304526,170.75080036358975,172.3099461200087,211173300
2015-12-14,171.92860412597656,172.05571534060496,169.42890539387147,171.22530970948813,182385200
2015-12-15,173.7335662841797,174.64871319350857,171.90327246552195,173.45393698441487,154069600
2015-12-16,176.27554321289062,176.58059202084652,173.53858577988444,174.86892854678104,197017000
2015-12-17,173.5894775390625,176.65690436330505,173.57252678637923,176.58911428220782,173092500
2015-12-18,170.49696350097656,172.97743633365053,170.3350055036484,172.84106228916082,251393500
2015-12-21,171.90342712402344,172.08243676432988,170.55663418463442,171.68180790865023,99094300
2015-12-22,173.46334838867188,173.76169350254062,171.80117148454516,172.79847762702119,111026200
2015-12-23,175.6114044189453,175.65402700880222,174.38394666796097,174.47771116301084,110987200
